Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;1;200.9;33.2;4.4;0.0;7.6;17.4;1.6;0.0;0.0;13.4;0.0;0.0;5.4;14.4;0.0;11.2;41.0;0.0;19.8;0.0;0.0;0.0;0.0;3.1;0.0;0.0;0.0;22.6;0.0;5.8;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;2;17.4;0.0;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;3;344.6;0.0;0.0;0.0;0.0;47.0;0.0;79.4;0.0;7.2;0.0;0.0;27.0;9.4;2.0;0.0;6.4;38.2;2.6;8.6;11.0;22.0;0.0;5.2;13.2;0.0;42.8;9.2;0.0;8.6;0.0;4.8
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;4;242.8;10.4;18.8;0.0;0.0;92.0;19.4;6.4;27.2;9.8;0.0;0.0;0.0;0.0;6.8;0.0;0.0;0.0;20.4;14.4;9.4;0.0;0.0;0.0;7.8;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.2;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;6;96.8;0.0;0.0;0.0;25.2;33.8;13.2;0.0;0.0;20.8;3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;11;186.6;0.0;0.0;0.0;5.6;64.0;96.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2022;12;95.6;26.0;10.0;8.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;27.6;0.0;0.0;9.0;0.0;0.0;0.0
Ipueiras;ACUDE JATOBA II;-4.5876944444444;-40.745361111111;2023;1;57.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.2;25.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;0.0;0.0;0.0;0.0;0.0
