Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;1;166.2;0.0;22.2;0.0;1.3;5.2;2.4;1.0;0.0;0.0;0.0;0.0;35.3;27.4;12.1;5.1;5.4;12.4;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;12.2;11.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;2;50.6;0.0;0.0;0.0;16.1;9.1;0.0;0.0;0.0;10.1;0.0;8.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0;888.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;3;162.3;0.0;0.0;0.0;0.0;0.0;0.0;88.4;2.2;0.0;0.0;1.1;13.3;21.0;0.0;0.0;10.1;2.3;0.0;0.0;0.0;13.1;1.0;0.0;0.0;0.0;1.1;0.0;0.0;1.4;0.0;7.3
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;4;175.8;0.0;6.2;0.0;0.0;50.2;13.2;0.0;0.0;3.1;2.0;0.0;0.0;0.0;0.0;0.0;0.0;22.2;3.4;3.0;9.0;0.0;0.0;35.0;15.0;5.3;0.0;0.0;0.0;0.0;8.2;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;5;41.6;0.0;0.0;0.0;1.4;6.3;0.0;0.0;0.0;0.0;7.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.3;0.0;0.0;0.0;13.2;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;6;61.7;0.0;13.3;0.0;9.0;19.3;9.3;0.0;0.0;0.0;5.3;0.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;7;25.4;0.0;2.3;0.0;0.0;3.1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;11;26.3;0.0;0.0;0.0;0.0;23.3;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2022;12;52.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.2;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;1;106.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.1;39.0;0.0;7.0;0.0;0.0;0.0;0.0;21.1;0.0;24.4;0.0;0.0;0.0;0.0;7.3
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;2;56.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.3;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3;0.0;6.0;2.2;13.0;18.1;0.0;0.0;888.0;888.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;3;279.4;0.0;0.0;8.4;15.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;1.4;0.0;35.0;25.4;6.0;2.2;13.4;1.2;1.0;9.0;0.0;0.0;0.0;30.0;19.4;4.0;80.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;4;118.6;4.4;16.4;1.3;0.0;0.0;0.0;0.0;2.0;13.0;5.0;0.0;0.0;0.0;0.0;0.0;9.4;6.3;1.0;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;24.3;11.0;14.2;3.1;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;5;13.1;0.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;11;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;0.0;888.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2023;12;20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.3;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
Santa Quitéria;AÇUDE EDSON QUEIROZ;-4.2132222222222;-40.072666666667;2024;1;78.0;22.0;10.3;0.0;0.0;0.0;0.0;0.0;7.0;0.0;6.2;0.0;14.2;10.1;8.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
