Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;4;71.2;0.0;0.0;0.0;4.6;6.6;0.0;0.0;0.0;0.0;0.0;0.0;22.6;0.0;0.0;14.2;23.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;5;16.2;0.0;0.0;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2016;12;23.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.4;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.2;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;1;153.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.4;0.0;0.0;0.0;4.4;0.0;0.0;70.8;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;41.8;19.6;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;2;126.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.2;0.0;13.0;0.0;3.8;0.0;0.0;20.2;0.0;0.0;21.6;888.0;888.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;3;187.6;0.0;8.0;0.0;10.2;4.0;10.8;0.0;0.0;11.2;0.0;7.4;0.0;6.8;21.8;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;4;169.2;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;3.0;41.2;5.8;72.0;6.8;0.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;0.0;0.0;0.0;0.0;0.0;6.4;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;5;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.8;0.0;6.0;0.0;0.0;0.0;0.0;0.0;5.2;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;6;34.6;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;7;16.8;16.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;11;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2017;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;1;64.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.8;0.0;0.0;0.0;0.0;7.6;0.0;42.8;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;2;325.6;0.0;0.0;0.0;0.0;0.0;0.0;10.8;48.6;0.0;0.0;42.4;0.0;0.0;17.6;37.4;0.0;30.6;29.6;48.2;18.0;0.0;0.0;0.0;37.6;0.0;0.0;4.8;0.0;888.0;888.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;3;115.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;10.6;0.0;0.0;11.4;0.0;0.0;7.2;0.0;0.0;22.0;33.2;18.2
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;4;215.4;0.0;32.6;0.0;0.0;0.0;0.0;0.0;0.0;10.0;57.8;0.0;0.0;47.2;0.0;16.8;0.0;0.0;0.0;25.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;5;19.2;10.2;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;11;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.6;0.0;0.0;17.6;0.0;0.0;9.8;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2018;12;233.4;0.0;0.0;0.0;0.0;0.0;8.0;38.0;45.4;0.0;38.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;27.4;0.0;0.0;0.0;0.0;0.0;55.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;1;121.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.6;0.0;0.0;2.4;3.6;18.2;0.0;17.6;31.2;0.0;0.0;0.0;0.0;18.8;0.0;0.0;0.0;0.0;0.0;0.0;12.8;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;2;164.4;0.0;0.0;0.0;6.8;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.6;0.0;51.2;0.0;0.0;0.0;8.4;10.4;25.6;0.0;12.6;0.0;6.8;0.0;0.0;888.0;888.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;3;257.0;0.0;0.0;33.6;0.0;24.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;32.6;54.2;51.2;0.0;0.0;3.2;0.0;0.0;56.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;4;154.4;0.0;11.4;13.0;15.2;0.0;0.0;13.6;0.0;0.0;11.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;0.0;8.2;0.0;14.4;52.4;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;5;29.4;8.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.8;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;7;11.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2019;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2020;1;123.2;30.6;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;10.8;5.2;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;0.0;4.2;0.0;0.0;20.0;8.8;0.0;0.0;18.2
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2020;2;335.2;37.2;0.0;0.0;0.0;43.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;12.6;36.4;0.0;13.0;39.8;6.8;0.0;55.8;2.6;51.8;15.6;0.0;0.0;9.0;0.0;4.6;888.0;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2020;3;330.2;56.2;10.6;0.0;4.8;10.4;0.0;6.0;27.6;9.0;18.4;0.0;10.2;0.0;0.0;4.8;52.6;17.0;0.0;5.2;0.0;17.6;0.0;0.0;0.0;48.6;8.2;0.0;0.0;0.0;0.0;23.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2020;4;191.8;8.8;0.0;24.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.8;0.0;0.0;0.0;0.0;0.0;0.0;8.6;0.0;36.0;0.0;0.0;35.0;0.0;4.4;0.0;22.8;6.6;0.0;4.6;888.0
Ipaumirim;SANTO ANTONIO;-6.872;-38.729555555556;2020;5;55.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;6.0;0.0;5.2;4.6;0.0;17.0;0.0;5.2;0.0;0.0;0.0;0.0;0.0
